Activity Totals Data Participant ID,Activity Totals Data Entry Date,Activity Totals Data Avg Normalized La,Activity Totals Data Avg Normalized Rw
1461,2019-09-20,913.547377881628,697.6316071320755
503,2019-09-20,237.17128693760003,684.1977842797385
1463,2019-09-20,405.9303424622222,289.02939982195124
219,2019-09-20,1084.0730934379872,733.5934598550001
1227,2019-09-20,522.2948293169034,614.8601887564103
1395,2019-09-20,1150.16349285,739.9040683353294
1471,2019-09-20,532.1158684712258,562.028426551282
1428,2019-09-20,323.786608212739,571.1684716833335
1383,2019-09-16,687.8265293296814,593.1245750533334
49,2019-09-16,217.39030196000002,298.18104212549014
571,2019-09-16,311.5555891244737,691.8972551544302
1074,2019-09-16,8.073828222028986,351.292080410191
1409,2019-09-15,590.9946481980953,697.6317415641025
458,2019-09-15,1246.4397086135848,423.64337405679004
1014,2019-09-15,1253.8124562495484,886.7539152670657
581,2019-09-15,733.5534616591086,918.3295767847134
1313,2019-09-14,475.4908730498064,505.6765885006452
400,2019-09-14,1160.3726397430382,170.09473696352197
966,2019-09-14,1438.3452092830382,403.76310032546587
1396,2019-09-14,840.943606281266,501.7976587849057
678,2019-09-14,250.61429265717953,498.7275734767295
1297,2019-09-13,453.82030678538473,552.1406729647058
1357,2019-09-13,722.0239409949369,675.965813949367
1404,2019-09-13,516.7639580960001,84.3600371638418
1331,2019-09-13,573.7602498721952,73.47791853253013
1264,2019-09-13,377.3408036755557,531.9771809622222
1365,2019-09-13,169.15485700551727,350.294043520482
131,2019-09-10,0.1341233626086956,235.704249702994
278,2019-09-09,256.48662783025645,432.9263861333332
130,2019-09-09,566.0932269487897,657.8053519552794
1390,2019-09-09,,
1320,2019-09-09,437.24179075587114,609.6806852930816
1294,2019-09-09,1437.6705607288052,1013.9296754208589
1223,2019-09-09,1443.3223572912107,943.4440232567899
447,2019-09-08,0,155.49538877452233
1446,2019-09-08,463.86363145426765,589.717526825641
1065,2019-09-08,377.4754500111393,307.05648580750005
1214,2019-09-08,1176.1828613015387,767.4155270309526
225,2019-09-08,776.8987195417451,811.7320530259742
1341,2019-09-08,140.51581982357897,497.55171967848105
718,2019-09-08,974.6859346168152,697.0515891522011
1352,2019-09-07,263.87175038666663,336.6131575638711
443,2019-09-07,99.53956069503184,590.536309544304
293,2019-09-07,177.22349157896105,164.97374629803926
1271,2019-09-07,1027.957724072,664.2170553786162
1253,2019-09-07,571.1120765588506,381.0544297121019
1452,2019-09-07,904.3492547367741,711.1968302159509
106,2019-09-07,716.0982082069569,204.56436389777778
732,2019-09-07,314.9520071555556,0
65,2019-09-07,643.2081198110257,385.52847752514623
236,2019-09-07,475.3010523024204,378.24367670193556
208,2019-09-04,143.63909062222223,30.32392146259542
372,2019-08-28,228.71285268821197,377.29836247631584
1444,2019-08-28,557.5428046499363,110.95246532051283
1076,2019-08-28,191.5259683323685,433.2247329195121
1449,2019-08-28,772.8272423098734,660.1014840912281
1049,2019-08-28,545.9202477048101,757.1764319617832
493,2019-08-27,448.4332898920514,549.8290195094341
1429,2019-08-27,356.55587716363624,510.16085539805823
1234,2019-08-27,613.3932238961492,593.0600900725146
1312,2019-08-27,670.784955132606,690.8124467095237
411,2019-08-26,0,42.68362153043478
378,2019-08-26,270.8846169535898,801.6428666807453
489,2019-08-26,3.159862510503597,0
1237,2019-08-26,455.59763396779874,505.45937804761905
1254,2019-08-26,319.79912847122586,468.943195293976
1005,2019-08-26,10.0058634952,0.9665078260869563
337,2019-08-25,853.3173101169232,705.9007853121018
1032,2019-08-25,408.08446290897456,322.3296467482352
1287,2019-08-25,570.2108511885352,636.0705819069182
1422,2019-08-24,361.91005526871794,655.4374705416149
731,2019-08-24,0.018100318840579704,487.4532909820513
189,2019-08-24,5.967109796712329,146.55328308901733
557,2019-08-24,973.4732136092307,544.9314807529413
1364,2019-08-22,209.3926613379487,737.807173793464
388,2019-08-21,287.07384843769233,327.31143294901955
546,2019-08-21,603.1649584815385,778.0582963102565
1154,2019-08-20,597.4715599343397,631.9763096982036
1124,2019-08-19,402.98544563388543,605.6900088412123
708,2019-08-19,91.8244551093069,7.530602886021506
1383,2019-08-19,638.7179616996182,631.9909874839508
219,2019-08-19,1204.2965941174684,763.0930715633988
335,2019-08-19,1287.3851614979749,304.89771271358035
976,2019-08-19,0,203.58710182193548
150,2019-08-18,63.839314930097096,622.2422714363635
1014,2019-08-18,1329.0634951090447,928.0488441397591
1308,2019-08-18,823.02882604775,731.238410063158
1395,2019-08-18,963.3313224427848,770.009261163964
571,2019-08-18,263.17657438623377,634.4633978911392
1204,2019-08-18,611.9393560634616,649.433822737864
217,2019-08-17,1072.6768096085902,698.3812768958084
503,2019-08-17,285.5723431714667,680.8439858831168
1313,2019-08-17,516.0291116053846,556.3971562580643
589,2019-08-17,421.19783786025323,503.25139665628745
1376,2019-08-17,582.2711501088608,533.4225954860759
676,2019-08-17,459.4515039415385,409.70391157522135
1176,2019-08-17,768.2263577919483,681.4944587726708
126,2019-08-17,134.40531234,50.293518610344826
1074,2019-08-17,20.15343800666667,
678,2019-08-17,256.18926129038965,494.5901712
1108,2019-08-16,1061.360174985641,905.4808383535485
1461,2019-08-16,652.3022129160976,625.9478160477987
1463,2019-08-16,239.95351047700007,275.0851574823529
367,2019-08-16,1350.9156954846148,956.8703477308176
581,2019-08-16,772.112819868,888.244594634395
1357,2019-08-16,744.4665373922012,689.9536590926173
966,2019-08-16,1520.947393894013,402.4359355337424
49,2019-08-16,281.6496376348387,307.0424028
1396,2019-08-16,870.4203787607596,574.010881505
1462,2019-08-16,1056.9015234456413,847.5706331684208
458,2019-08-14,1387.5140526807895,404.135456095
1286,2019-08-14,756.843570172152,671.9590688597402
1331,2019-08-14,565.9891968807274,88.2026113935484
1404,2019-08-12,533.8699623753847,100.4578846547619
1320,2019-08-12,345.8428275777777,602.1893192129032
225,2019-08-12,744.8238324710811,804.3530507473683
130,2019-08-11,551.6088818960001,635.2215052825001
1214,2019-08-11,1167.8738917027097,814.339704263354
321,2019-08-11,234.27214415509684,219.58067209032257
1264,2019-08-11,351.8256784830968,629.722169090446
131,2019-08-11,0.330149815652174,234.2131632021978
1297,2019-08-10,460.54156841392415,619.536030337255
1352,2019-08-10,243.20364223555555,369.28751429668876
443,2019-08-10,107.88089636894739,533.3033455617835
